,variable,alpha_pos,alpha_neg,beta,alpha_pos_hat,alpha_neg_hat,beta_hat,n_trials,n_blocks,n_sp,alpha_pos_level,alpha_neg_level,beta_level
136,alpha_neg,0.3,0.6666666666666666,5.0,0.3551063467908862,0.9314050721617364,4.123804399092218,100,2,1,medium,variable,medium
137,alpha_neg,0.3,0.7777777777777777,5.0,0.61939936716655,0.6490376728472943,3.8455578703740008,100,2,1,medium,variable,medium
138,alpha_neg,0.3,0.8888888888888888,5.0,0.0,0.0,0.0,100,2,1,medium,variable,medium
139,alpha_neg,0.3,1.0,5.0,0.45931839190677265,1.0,3.475965234738266,100,2,1,medium,variable,medium
140,alpha_neg,0.3,0.0,10.0,0.5169362894604783,0.09332262607591153,16.204424356150177,100,2,1,medium,variable,high
141,alpha_neg,0.3,0.1111111111111111,10.0,0.2649812848933273,0.11124795422896974,8.870386826721914,100,2,1,medium,variable,high
142,alpha_neg,0.3,0.2222222222222222,10.0,0.34415203581178183,0.32021367792672456,8.822447114145529,100,2,1,medium,variable,high
143,alpha_neg,0.3,0.3333333333333333,10.0,0.30474026003889376,0.3570515748444485,8.001424435641297,100,2,1,medium,variable,high
144,alpha_neg,0.3,0.4444444444444444,10.0,0.2941803989115502,0.4495672577256076,11.309293420223439,100,2,1,medium,variable,high
145,alpha_neg,0.3,0.5555555555555556,10.0,0.5254940550485517,0.536457616047429,10.269703013242689,100,2,1,medium,variable,high
146,alpha_neg,0.3,0.6666666666666666,10.0,0.21377147082308104,0.693785169754539,14.4535706242983,100,2,1,medium,variable,high
147,alpha_neg,0.3,0.7777777777777777,10.0,0.20727902721327737,0.6624134980918126,11.982940707137518,100,2,1,medium,variable,high
148,alpha_neg,0.3,0.8888888888888888,10.0,0.49766889483402565,0.9098484857832386,7.360545739551823,100,2,1,medium,variable,high
149,alpha_neg,0.3,1.0,10.0,0.45709109670754583,1.0,7.145737803587411,100,2,1,medium,variable,high
150,alpha_neg,0.6,0.0,3.0,0.897842091406629,0.0,3.1741379618768293,100,2,1,high,variable,low
151,alpha_neg,0.6,0.1111111111111111,3.0,1.0,0.0,0.0,100,2,1,high,variable,low
152,alpha_neg,0.6,0.2222222222222222,3.0,0.2129996683216804,0.2844892934606707,2.7746457137304117,100,2,1,high,variable,low
153,alpha_neg,0.6,0.3333333333333333,3.0,1.0,0.6587471439151439,1.340464545973048,100,2,1,high,variable,low
154,alpha_neg,0.6,0.4444444444444444,3.0,0.3978964853863792,0.6152503402074715,2.594381051615334,100,2,1,high,variable,low
155,alpha_neg,0.6,0.5555555555555556,3.0,0.9035487366824481,0.9661860717965765,1.7636379992201874,100,2,1,high,variable,low
156,alpha_neg,0.6,0.6666666666666666,3.0,0.6684553337823862,0.6694127515853798,3.827220133845786,100,2,1,high,variable,low
157,alpha_neg,0.6,0.7777777777777777,3.0,0.7507631466297,0.4969568589937488,3.4178571936884317,100,2,1,high,variable,low
158,alpha_neg,0.6,0.8888888888888888,3.0,0.570556389373667,0.9052093067333283,4.141339091831845,100,2,1,high,variable,low
159,alpha_neg,0.6,1.0,3.0,0.7238093812124784,1.0,3.172336284860198,100,2,1,high,variable,low
160,alpha_neg,0.6,0.0,5.0,0.0,0.0,0.0,100,2,1,high,variable,medium
161,alpha_neg,0.6,0.1111111111111111,5.0,0.0,0.0,0.0,100,2,1,high,variable,medium
